City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,villa del carbon,19.7272,-99.4683,20.45,62,55,2.29,MX,1726775636
319,bargaal,11.2864,51.0773,26.38,77,7,3.28,SO,1726775637
320,pearsall,28.8922,-99.095,34.65,43,63,4.61,US,1726775638
321,kerikeri,-35.2268,173.9474,14.39,85,91,2.68,NZ,1726775639
322,cidade velha,14.9167,-23.6167,28.26,74,75,6.17,CV,1726775640
323,praia da vitoria,38.7333,-27.0667,22.64,78,75,5.11,PT,1726775641
324,katsuura,35.1333,140.3,26.88,94,43,3.47,JP,1726775642
325,rio verde de mato grosso,-18.9181,-54.8442,38.91,15,68,7.65,BR,1726775643
326,yemva,62.59,50.8594,7.77,97,8,1.77,RU,1726775644
327,prien,30.1819,-93.2738,33.99,57,40,3.6,US,1726775645
328,masjed soleyman,31.9364,49.3039,29.86,19,0,0.96,IR,1726775646
329,barano d'ischia,40.718,13.9309,20.17,85,0,4.47,IT,1726775647
330,hyesan,41.4017,128.1778,16.82,98,100,1.03,KP,1726775648
331,axim,4.8699,-2.2405,24.03,93,25,3.03,GH,1726775650
332,mezhdurechenskiy,59.6,65.9333,11.72,94,30,2.42,RU,1726775651
333,zhangye,38.9342,100.4517,13.85,76,93,1.6,CN,1726775652
334,illizi,26.4833,8.4667,32.39,31,83,2.89,DZ,1726775653
335,taro,-8.3862,115.28,18.31,97,100,0.69,ID,1726775654
336,north bend,43.4065,-124.2243,18.42,88,40,9.26,US,1726775655
337,midvagur,62.0511,-7.1939,10.46,100,100,2.57,FO,1726775656
338,salalah,17.0151,54.0924,26.05,83,0,1.54,OM,1726775657
339,tshikapa,-6.4167,20.8,23.66,82,8,2.17,CD,1726775658
340,guadix,37.2993,-3.1392,17.39,64,80,1.07,ES,1726775659
341,sidi bennour,32.6524,-8.4277,20.28,67,52,3.58,MA,1726775660
342,west bay,19.3667,-81.4167,33.04,62,40,4.12,KY,1726775661
343,kyotera,-0.6156,31.5175,19.83,75,57,2.8,UG,1726775662
344,vangviang,18.9333,102.45,21.57,92,100,0.23,LA,1726775663
345,las tablas,7.7667,-80.2833,26.76,99,100,2.33,PA,1726775664
346,turpan,42.9333,89.1667,23.74,17,0,2.23,CN,1726775665
347,miles city,46.4083,-105.8406,22.54,40,0,8.75,US,1726775666
348,novyy urengoy,66.0833,76.6333,7.15,86,100,1.53,RU,1726775667
349,harda khas,22.3333,77.1,24.0,89,100,2.26,IN,1726775668
350,jiangmen,22.5833,113.0833,27.1,81,99,0.62,CN,1726775669
351,turan,16.0678,108.2208,26.99,94,40,0.51,VN,1726775670
352,makhambet,47.6667,51.5833,15.94,24,0,3.64,KZ,1726775672
353,kapit,2.0167,112.9333,23.37,85,100,0.6,MY,1726775673
354,mahanoro,-19.9,48.8,20.43,92,22,2.47,MG,1726775675
355,huarmey,-10.0681,-78.1522,20.08,71,3,5.7,PE,1726775676
356,bambanglipuro,-7.95,110.2833,24.06,77,99,0.75,ID,1726775677
357,tofol,5.3248,163.0078,28.68,73,90,3.39,FM,1726775678
358,fort bragg,35.139,-79.006,28.15,72,40,2.57,US,1726775679
359,santona,43.4439,-3.4576,19.48,89,32,1.58,ES,1726775680
360,jasper,37.2001,-94.3502,37.27,45,40,6.69,US,1726775675
361,novodvinsk,64.4165,40.8122,13.86,67,100,3.68,RU,1726775682
362,ndele,8.4109,20.6473,21.89,96,37,1.25,CF,1726775683
